flare_id,log,n_flashes,flare_len_s,beacon_id,night,since_dusk_s,glyph,shape_id,flourish,region,cluster,cluster_num,date_seen
FLR-04377,RIDGE,7,1.4461013,0,,,7D2,,,R1,F,3,31/03/2015
FLR-04378,LAMP,5,1.1449333,1,N-003,16972.1369,,2,0,,,,
FLR-04379,LAMP,5,1.3184708,3,N-022,27788.9517,,2,0,,,,
FLR-04380,LAMP,4,1.0017667,2,N-001,206.3303,,0,0,,,,
FLR-04381,RIDGE,5,1.0192,0,,,1+1+3,,,R1,J,4,12/05/2016
FLR-04382,RIDGE,5,1.1140417,5586,,,1+1+3,,,R1,A,1,02/03/2015
FLR-04383,RIDGE,5,1.300186,0,,,1+1+3,,,R1,A,1,02/03/2015
FLR-04384,RIDGE,4,1.152117,0,,,4R2,,,R1,A,1,02/03/2015
FLR-04385,RIDGE,4,1.1164636,5720,,,4R2,,,R1,A,1,16-04-2014
FLR-04386,LAMP,5,1.2851333,2,N-003,16811.1824,,2,0,,,,
FLR-04387,LAMP,5,1.101425,1,N-003,16161.9751,,2,0,,,,
FLR-04388,RIDGE,5,1.168,0,,,1+1+3,,,R1,R,8,19/04/2008
FLR-04389,RIDGE,5,0.846168,5981,,,1+1+3,,,R1,J,4,13-05-2016
FLR-04390,RIDGE,5,1.3388,0,,,1+1+3,,,R1,F,3,23/01/2005
FLR-04391,LAMP,5,1.1904192,1,N-011,2242.1695,,2,0,,,,
FLR-04392,RIDGE,5,0.3596916,5586,,,5-SMUDGE,,,R1,A,1,02-03-2015
FLR-04393,LAMP,5,1.3107873,2,N-013,21879.6936,,2,0,,,,
FLR-04394,RIDGE,5,1.3672,0,,,5R3,,,R2,P,7,24/04/2008
FLR-04395,RIDGE,5,1.453,0,,,1+1+3,,,R1,T,10,06/03/2010
FLR-04396,RIDGE,5,1.20455,5586,,,1+1+3,,,R1,A,1,02-03-2015
FLR-04397,LAMP,6,1.1905858,2,N-002,13982.7637,,16,0,,,,
FLR-04398,RIDGE,5,1.1771417,5560,,,1+1+3,,,R1,F,3,31/03/2015
FLR-04399,RIDGE,5,1.166,5130,,,1+1+3,,,R1,F,3,01/02/2005
FLR-04400,RIDGE,5,0.7107427,0,,,1+1+3,,,R1,J,4,12/05/2016
FLR-04401,LAMP,19,1.1160166,2,N-022,27646.3144,,17,0,,,,
FLR-04402,RIDGE,5,1.2072833,0,,,1+1+3,,,R1,J,4,24-04-2014
FLR-04403,RIDGE,5,0.512,0,,,5R2,,,R1,R,8,19/04/2008
FLR-04404,RIDGE,5,0.972,0,,,1+1+3,,,R1,D,2,20/03/2008
FLR-04405,RIDGE,5,0.8812492,0,,,1+1+3,,,R1,A,1,02/03/2015
FLR-04406,RIDGE,5,0.500125,5151,,,5R2,,,R1,U,11,31-03-2015
FLR-04407,RIDGE,5,0.317,0,,,5R1,,,R1,T,10,06/03/2010
FLR-04408,RIDGE,5,0.788,0,,,1+1+3,,,R1,T,10,10/03/2010
FLR-04409,LAMP,5,0.6830844,4,N-003,15591.3291,,4,0,,,,
FLR-04410,RIDGE,5,1.1386,0,,,1+1+3,,,R1,J,4,06/02/2010
FLR-04411,RIDGE,5,0.7312588,0,,,5-SMUDGE,,,R1,A,1,02-03-2015
FLR-04412,RIDGE,5,0.6319,5722,,,5-SMUDGE,,,R1,F,3,23/02/2008
FLR-04413,LAMP,5,0.9682667,1,N-003,16980.3174,,2,0,,,,
FLR-04414,RIDGE,6,1.8232,6052,,,6-SMUDGE,,,R1,S,9,29-04-2014
FLR-04415,RIDGE,5,0.892,0,,,1+1+3,,,R1,N,6,02/04/2010
FLR-04416,RIDGE,5,0.3246333,5720,,,5R1,,,R1,A,1,16-04-2014
FLR-04417,RIDGE,5,0.885,0,,,1+1+3,,,R1,D,2,06/02/2010
FLR-04418,RIDGE,5,0.806,0,,,1+1+3,,,R1,D,2,18/03/2010
FLR-04419,RIDGE,5,0.801,0,,,1+1+3,,,R1,D,2,18/03/2010
FLR-04420,LAMP,5,1.2423349,2,N-033,18439.9184,,2,0,,,,
FLR-04421,LAMP,4,0.9059166,2,N-001,3951.5984,,0,0,,,,
FLR-04422,RIDGE,6,1.282,0,,,6R,,,R2,K,5,03/06/2012
FLR-04423,RIDGE,5,0.296432,0,,,5R1,,,R1,S,9,01-04-2015
FLR-04424,RIDGE,5,0.4068863,0,,,5-SMUDGE,,,R1,A,1,02/03/2015
FLR-04425,LAMP,5,0.8129524,2,N-003,16704.0263,,2,0,,,,
FLR-04426,RIDGE,5,0.7363,5560,,,1+1+3,,,R1,F,3,17/02/2005
FLR-04427,RIDGE,5,0.328,0,,,5R1,,,R1,T,10,12/03/2010
FLR-04428,LAMP,5,1.274625,1,N-011,171.5708,,2,0,,,,
FLR-04429,RIDGE,5,1.2848666,5759,,,1+1+3,,,R1,S,9,29-04-2014
FLR-04430,RIDGE,5,0.9856559,0,,,1+1+3,,,R1,J,4,24-04-2014
FLR-04431,RIDGE,5,0.351,0,,,5R1,,,R1,D,2,20/03/2008
FLR-04432,RIDGE,5,1.0709346,0,,,1+1+3,,,R1,A,1,02/03/2015
FLR-04433,RIDGE,6,0.463,0,,,6i,,,R1,T,10,10/03/2010
FLR-04434,RIDGE,8,0.3666936,0,,,8i,,,R1,J,4,12/05/2016
FLR-04435,LAMP,3,0.1544135,2,N-042,1025.689,,12,0,,,,
FLR-04436,RIDGE,6,0.1553,5703,,,6i,,,R1,F,3,18/02/2005
FLR-04437,LAMP,4,0.9739753,2,N-002,14808.053,,0,0,,,,
FLR-04438,RIDGE,6,0.4401,5727,,,6i,,,R1,F,3,12/02/2010
FLR-04439,RIDGE,5,1.0894333,5151,,,1+1+3,,,R1,U,11,26/03/2015
FLR-04440,RIDGE,5,1.1747,5560,,,1+1+3,,,R1,F,3,03/02/2005
FLR-04441,LAMP,5,0.7598417,1,N-032,10085.9514,,2,0,,,,
FLR-04442,RIDGE,5,1.0302917,5586,,,1+1+3,,,R1,A,1,02/03/2015
FLR-04443,RIDGE,8,0.304,0,,,8i,,,R1,R,8,08/04/2008
FLR-04444,LAMP,5,1.2425167,1,N-002,13911.0156,,2,0,,,,
FLR-04445,RIDGE,10,2.5997416,0,,,10-SMUDGE,,,R1,S,9,01-04-2015
FLR-04446,RIDGE,10,1.5238,0,,,10R,,,R2,K,5,03/06/2012
FLR-04447,RIDGE,6,1.0008667,0,,,6-SMUDGE,,,R1,A,1,02/03/2015
FLR-04448,RIDGE,5,1.1019,0,,,5-SMUDGE,,,R1,F,3,03/03/2010
FLR-04449,RIDGE,5,1.2473417,5151,,,1+1+3,,,R1,U,11,26/03/2015
FLR-04450,RIDGE,6,1.3853416,5151,,,6-SMUDGE,,,R1,U,11,19-03-2015
FLR-04451,RIDGE,5,1.3523167,5151,,,1+1+3,,,R1,U,11,19-03-2015
FLR-04452,LAMP,5,1.3651424,2,N-004,25023.4553,,2,0,,,,
FLR-04453,RIDGE,4,0.236217,0,,,4R1,,,R1,A,1,02/03/2015
FLR-04454,LAMP,4,0.7815689,2,N-001,588.8675,,0,0,,,,
FLR-04455,RIDGE,5,0.3006584,5979,,,5R1,,,R1,J,4,10-04-2015
FLR-04456,LAMP,20,1.1082534,2,N-022,27642.9384,,17,0,,,,
FLR-04457,RIDGE,5,0.9916902,0,,,1+1+3,,,R1,A,1,02/03/2015
FLR-04458,RIDGE,5,0.6419,5561,,,5-SMUDGE,,,R1,F,3,04/03/2010
FLR-04459,RIDGE,4,0.8458417,5720,,,4R2,,,R1,A,1,16-04-2014
FLR-04460,LAMP,5,1.3108252,2,N-006,8662.0929,,2,0,,,,
FLR-04461,RIDGE,5,0.8928,5978,,,1+1+3,,,R1,J,4,03/05/2008
FLR-04462,RIDGE,7,0.351,0,,,7i,,,R1,V,12,26/01/2010
FLR-04463,RIDGE,5,0.8057931,0,,,1+1+3,,,R1,A,1,02-03-2015
FLR-04464,LAMP,5,1.2303851,3,N-020,11730.1877,,2,0,,,,
FLR-04465,RIDGE,5,0.349,0,,,5R1,,,R1,N,6,23/03/2009
FLR-04466,RIDGE,5,0.526,5151,,,5R2,,,R1,U,11,11/02/2010
FLR-04467,LAMP,3,0.1544416,1,N-041,2895.8483,,12,0,,,,
FLR-04468,RIDGE,5,0.34,0,,,5R1,,,R1,N,6,02/04/2010
FLR-04469,RIDGE,5,0.339,0,,,5R1,,,R1,R,8,10/04/2008
FLR-04470,RIDGE,5,0.312,0,,,5R1,,,R1,T,10,15/04/2010
FLR-04471,RIDGE,5,0.4765916,0,,,5R2,,,R1,F,3,31/03/2015
FLR-04472,RIDGE,5,1.0051,0,,,5R3,,,R2,K,5,03/06/2012
FLR-04473,RIDGE,5,0.326,0,,,5R1,,,R1,D,2,06/02/2010
FLR-04474,LAMP,5,1.2046584,3,N-020,13212.3763,,2,0,,,,
FLR-04475,RIDGE,5,1.1303097,0,,,5R3,,,R2,ZZZ,13,12-04-2016
FLR-04476,LAMP,5,0.7989152,2,N-002,14545.5448,,2,0,,,,
FLR-04477,RIDGE,5,0.8313245,0,,,1+1+3,,,R1,A,1,02/03/2015
FLR-04478,RIDGE,5,0.3268851,0,,,5R1,,,R1,S,9,07-04-2015
FLR-04479,LAMP,5,1.5307164,2,N-042,1985.2798,,2,0,,,,
FLR-04480,RIDGE,5,0.8499,5978,,,1+1+3,,,R1,J,4,04/05/2008
FLR-04481,RIDGE,5,0.5196333,0,,,5R2,,,R1,F,3,31/03/2015
FLR-04482,LAMP,5,1.2388842,2,N-011,144.3248,,2,0,,,,
FLR-04483,LAMP,5,0.3141753,2,N-031,172.9094,,4,0,,,,
FLR-04484,RIDGE,5,0.4882,5727,,,5R2,,,R1,F,3,12/02/2010
FLR-04485,LAMP,5,1.2559417,1,N-014,720.3851,,2,0,,,,
FLR-04486,LAMP,5,0.307125,2,N-025,15118.2005,,4,0,,,,
FLR-04487,RIDGE,8,3.0351729,0,,,8-SMUDGE,,,R2,ZZZ,13,12-04-2016
FLR-04488,RIDGE,5,0.346,0,,,5R1,,,R1,R,8,08/04/2008
FLR-04489,LAMP,5,1.0144083,1,N-003,15535.6717,,2,0,,,,
FLR-04490,RIDGE,5,1.1751097,0,,,1+1+3,,,R1,U,11,19-03-2015
FLR-04491,LAMP,5,0.7448267,4,N-011,1174.5713,,2,0,,,,
FLR-04492,RIDGE,5,1.4181167,5586,,,1+1+3,,,R1,A,1,02/03/2015
FLR-04493,RIDGE,4,0.9532916,0,,,4R2,,,R1,A,1,02/03/2015
FLR-04494,LAMP,13,1.0401583,2,N-036,26961.369,,17,0,,,,
FLR-04495,LAMP,15,0.667,1,N-024,14580.0813,,17,0,,,,
FLR-04496,LAMP,5,0.8612744,3,N-002,14420.5797,,2,0,,,,
FLR-04497,LAMP,2,0.0686583,1,N-008,12488.4885,,17,0,,,,
FLR-04498,RIDGE,3,0.1507,6070/6068,,,3R,,,R1,F,3,12/02/2010
FLR-04499,RIDGE,5,1.396,5979,,,1+1+3,,,R1,J,4,03/05/2008
FLR-04500,RIDGE,5,0.329,5126,,,5R1,,,R1,V,12,26/01/2010
FLR-04501,LAMP,5,1.1266747,2,N-003,17533.9643,,2,0,,,,
FLR-04502,LAMP,6,0.4034916,3,N-031,112.937,,10,1,,,,
FLR-04503,LAMP,3,0.3022229,2,N-001,541.7312,,5,0,,,,
FLR-04504,LAMP,5,1.1855751,2,N-003,15542.4777,,2,0,,,,
FLR-04505,LAMP,5,0.313656,2,N-031,233.1335,,4,0,,,,
FLR-04506,RIDGE,5,0.571,0,,,2+3,,,R1,A,1,28/02/2010
FLR-04507,RIDGE,5,0.867,0,,,1+1+3,,,R1,J,4,06/02/2010
FLR-04508,LAMP,5,0.3277877,2,N-026,5894.3358,,2,0,,,,
FLR-04509,RIDGE,5,1.083,0,,,1+1+3,,,R1,V,12,03/02/2010
FLR-04510,RIDGE,5,0.8463917,5586,,,1+1+3,,,R1,A,1,02/03/2015
